K,cluster,representative_source,phase,parameter,unit,n_cluster,n_valid,n_missing,median,std,p05,p95,width90,minimum,maximum,range,skewness,error95,error_max,angle_origin_deg,angle_resultant
10,0,147032,backward,a,km,56047,56047.0,0.0,1529778.8453559747,582986.5596755029,1007909.0160491628,2793660.838518393,1785751.8224692303,806790.239300698,4550878.48594289,3744088.246642192,1.1572559435762504,1162418.8665309884,2919636.513955485,nan,nan
10,1,33467,backward,a,km,11708,11708.0,0.0,203505.47285757738,7978.372798926559,198844.8945355425,221042.9984148593,22198.103879316797,195307.7820306998,247181.8484016022,51874.06637090241,2.393620833032174,18036.42815166862,44175.27813841155,nan,nan
10,2,52405,backward,a,km,8936,8936.0,0.0,231252.09038183192,6898.612771040203,221493.50663914543,245162.4093586108,23668.902719465375,204381.69684560236,247044.6972928694,42663.000447267026,0.3054860892455358,16575.87524249367,24228.542842749128,nan,nan
10,3,156649,backward,a,km,34130,34130.0,0.0,889805.0631756517,154210.08006055932,797153.961427901,1272436.5666791862,475282.60525128513,768052.7014156437,1889603.7420116824,1121551.0405960386,1.530270332924094,375189.97476745205,992357.1500999483,nan,nan
10,4,40474,backward,a,km,10599,10599.0,0.0,231006.5861053789,6697.48156787526,220558.43329434624,240758.97524324624,20200.541948900005,217107.41545711618,247275.16601213,30167.75055501383,0.07047673679679059,14173.439355921244,20689.630124805,nan,nan
10,5,138247,backward,a,km,28418,28418.0,0.0,1079030.6843023233,266426.59959860746,877806.9102310307,1572444.9840120974,694638.0737810667,808242.1068762928,4543425.988054201,3735183.8811779083,2.967195050445728,513359.58990575117,3484340.593947855,nan,nan
10,6,32694,backward,a,km,5549,5549.0,0.0,228159.49780715408,12543.150837810692,206129.20371332468,245122.68997067944,38993.48625735476,195309.88064042752,247235.42229161452,51925.541651187,-0.22610316157081442,21494.51284036519,28331.573017113464,nan,nan
10,7,16324,backward,a,km,15123,15123.0,0.0,222081.68997025987,8279.151228898238,206885.02985330203,233046.77295210343,26161.74309880141,201883.069426233,247282.6171501991,45399.5477239661,-0.25628753349727024,14208.384084819352,26795.015435865847,nan,nan
10,8,57507,backward,a,km,14674,14674.0,0.0,212564.60859882823,4511.73347998341,205816.8908586592,219517.31013823475,13700.419279575552,195292.2075001054,237826.71900584546,42534.511505740054,0.42937803934620883,7649.357005031851,24665.43195516494,nan,nan
10,9,221423,backward,a,km,8940,8940.0,0.0,957678.3019620508,364211.4230034129,777351.6745161159,1711745.639776492,934393.9652603761,769310.1008372651,4539420.921768772,3770110.8209315073,3.6610437943364817,785007.0494572942,3612682.3314495743,nan,nan
10,0,147032,backward,e,-,56047,56047.0,0.0,0.6882746471190202,0.09963689078959466,0.5210786247410627,0.8298944488285503,0.30881582408748764,0.38814933447671646,0.8956261106421681,0.5074767761654517,-0.17170774277560347,0.18694814261113185,0.3197992387406879,nan,nan
10,1,33467,backward,e,-,11708,11708.0,0.0,0.5149763009931242,0.05886816754655816,0.38924354901605546,0.547927418873473,0.1586838698574175,0.16931918759634287,0.5728758045889726,0.4035566169926297,-2.612129339648944,0.12911809868067592,0.34904246010038853,nan,nan
10,2,52405,backward,e,-,8936,8936.0,0.0,0.3131901768303684,0.056341722734248596,0.19089100791655933,0.38663709658116424,0.1957460886646049,0.17059170470547644,0.5088916188652927,0.3382999141598162,-0.5112076882486802,0.14316052374636803,0.1752006257870099,nan,nan
10,3,156649,backward,e,-,34130,34130.0,0.0,0.4524458706847708,0.07682690381732644,0.3803066332705825,0.623586765899373,0.2432801326287905,0.35264176551903914,0.7484095421825292,0.39576777666349006,0.7891475028195934,0.1667567991472094,0.2915795754303656,nan,nan
