K,backward_a,backward_e,backward_w,forward_a,forward_e,forward_w
1.000000000000000000e+01,3.447150795363764628e+05,8.198242957730005054e-02,5.741249806797972255e+00,3.746289582572295913e+05,9.504806526015384394e-02,4.095225298415837045e+01
1.100000000000000000e+01,3.447077689607403008e+05,8.008855683518141533e-02,5.797462690610479363e+00,3.804173737060294952e+05,9.536074575520256391e-02,4.127689350636411092e+01
1.300000000000000000e+01,3.296186831749155535e+05,7.073419846436405922e-02,5.780587470482370982e+00,3.595071353013489861e+05,9.199242381338941510e-02,3.930382916982151187e+01
1.500000000000000000e+01,2.755688385422182037e+05,6.294426824531777764e-02,5.735410836459423400e+00,3.339037190607530065e+05,8.586823177681789099e-02,3.840889028086694879e+01
1.700000000000000000e+01,2.755693791510669980e+05,6.313053090493540853e-02,5.716113907403920891e+00,3.299700852994406014e+05,8.305120505498933547e-02,3.850274100472120153e+01
1.900000000000000000e+01,2.657952108052236727e+05,6.134356288133275409e-02,5.673679064029155228e+00,3.272414061732795672e+05,8.325919423429319066e-02,3.732855620469545244e+01
2.100000000000000000e+01,2.657877657241466222e+05,5.946511831159115996e-02,5.292095278342550557e+00,3.313786112792991335e+05,8.321963321020237059e-02,3.626330461849002518e+01
2.300000000000000000e+01,2.657850042385150446e+05,5.871316526159747751e-02,5.310908767546164810e+00,3.165791146841503796e+05,8.261962272969021470e-02,3.526212782097456966e+01
2.500000000000000000e+01,2.660767886569358525e+05,5.885222500899658232e-02,5.243578399102037935e+00,3.009664903165244032e+05,7.634545052883634497e-02,3.511608718408678698e+01
2.700000000000000000e+01,3.170244552896004752e+05,6.376768617702326114e-02,5.125609798616090451e+00,3.061053386128502898e+05,7.056518872923416008e-02,2.827860215698088808e+01
