# r0x r0y r0z v0x v0y v0z t0_days Cj DE DV Emax h_perigeo h_min_periluneo
8.401211002753255889e+05 -3.195702832997905207e+05 0.000000000000000000e+00 -1.200457038127098031e+00 1.038656320953287082e+00 0.000000000000000000e+00 -2.993052206986434176e+05 9.400000000000000577e-01 1.493850753240549611e+00 1.752348589791724365e+00 8.168488542440620614e-01 5.033673726480928963e+02 2.915546062974708548e+02
8.390364051831141114e+05 -3.196193008742896491e+05 0.000000000000000000e+00 -1.196648981403393597e+00 1.038738534415421855e+00 0.000000000000000000e+00 -2.993052206986434176e+05 9.500000000000000666e-01 1.490643491696713951e+00 1.742793269462439731e+00 8.119175926342981908e-01 2.557052289416069470e+02 2.820109038279037463e+02
8.225249812301269267e+05 -2.900634178612434771e+05 0.000000000000000000e+00 -1.136658844550350045e+00 9.555591497632229814e-01 0.000000000000000000e+00 -2.993052206986434176e+05 1.100000000000000089e+00 1.409750193039924326e+00 2.932479960610797853e+00 6.458221051259749323e-01 7.252129888436338661e+02 1.675975507382789601e+03
8.214027297364533879e+05 -2.901812290136125521e+05 0.000000000000000000e+00 -1.132706307942233703e+00 9.558644013597012989e-01 0.000000000000000000e+00 -2.993052206986434176e+05 1.110000000000000098e+00 1.406733229650862560e+00 2.962106201911924863e+00 6.411377721180308020e-01 4.688493596880925907e+02 1.825987303890293560e+03
-7.901106999436368933e+05 4.801759704863826046e+05 0.000000000000000000e+00 8.350482833428812812e-01 -9.625855738519355498e-01 0.000000000000000000e+00 -7.856762043339390075e+05 1.110000000000000098e+00 1.159479428957097991e+00 1.597108186377802497e+00 3.957203107953086163e-01 3.388377179764856919e+02 2.353863031338184101e+03
8.202776066816254752e+05 -2.902992732674593572e+05 0.000000000000000000e+00 -1.128743126167642163e+00 9.561698564328019456e-01 0.000000000000000000e+00 -2.993052206986434176e+05 1.120000000000000107e+00 1.403719028981934125e+00 2.982667750679545371e+00 6.364549699795920557e-01 2.174507870669222029e+02 1.978403418704398291e+03
-7.867914304826552980e+05 4.806748878254625597e+05 0.000000000000000000e+00 8.288950450184530139e-01 -9.631645328691513797e-01 0.000000000000000000e+00 -7.856762043339390075e+05 1.120000000000000107e+00 1.160959465548807579e+00 1.562264581583156620e+00 3.898860125911894903e-01 4.858390836198486795e+02 2.219536017353520947e+03
-7.834624209345673444e+05 4.811711433721755166e+05 0.000000000000000000e+00 8.227164872459439282e-01 -9.637336226571628917e-01 0.000000000000000000e+00 -7.856762043339390075e+05 1.130000000000000115e+00 1.162399974613380627e+00 2.689995320501939347e+00 3.840502008974845394e-01 6.307998422411164938e+02 2.086691371576779147e+03
-7.801236025090663461e+05 4.816646873842943460e+05 0.000000000000000000e+00 8.165124005860292522e-01 -9.642926526199186998e-01 0.000000000000000000e+00 -7.856762043339390075e+05 1.140000000000000124e+00 1.163779373429796316e+00 1.970991419392275290e+00 3.782128636370699626e-01 7.736390340684865805e+02 1.955637692841434728e+03
8.444370833569294773e+05 -2.951949464597528568e+05 0.000000000000000000e+00 -1.053671749902569177e+00 8.725236641215308175e-01 0.000000000000000000e+00 -3.367183732859737938e+05 1.239999999999999991e+00 1.326431184514277994e+00 1.711484570709053799e+00 4.885921633638278250e-01 7.633123901637791278e+02 1.274403049381866595e+03
8.431293315717619844e+05 -2.954055776175337378e+05 0.000000000000000000e+00 -1.049547614878943325e+00 8.730373858842152002e-01 0.000000000000000000e+00 -3.367183732859737938e+05 1.250000000000000000e+00 1.323590650257868706e+00 1.699031971307588762e+00 4.841725359957057551e-01 4.993381553610079209e+02 1.148595683396055392e+03
8.418179581843391061e+05 -2.956166741976804915e+05 0.000000000000000000e+00 -1.045411396746809274e+00 8.735516833528598202e-01 0.000000000000000000e+00 -3.367183732859737938e+05 1.260000000000000009e+00 1.320751796748286910e+00 1.684475279033330608e+00 4.797552864179065457e-01 2.404810029314321582e+02 1.032411359703691005e+03
