# r0x r0y r0z v0x v0y v0z t0_days Cj DE DV Emax h_perigeo h_min_periluneo
-4.652418102897089739e+03 1.337324736777721773e+04 0.000000000000000000e+00 6.216234177330239419e+00 5.473210467451638195e+00 0.000000000000000000e+00 -1.537600208959021256e+05 8.000000000000000167e-02 6.797117704206306898e-01 2.409958437027941436e+00 4.542400916668075106e-01 4.486641733490532715e+02 4.958645754961288731e+03
-3.927893302696807950e+03 1.382418998731185638e+04 0.000000000000000000e+00 6.254330543813544807e+00 5.184088046068016098e+00 0.000000000000000000e+00 -1.537600208959021256e+05 8.999999999999999667e-02 6.797294725994607045e-01 2.362694822868852462e+00 4.506319741877423124e-01 3.360708453791694410e+02 4.902952841508122219e+03
-3.192878740662906239e+03 1.425015984567949999e+04 0.000000000000000000e+00 6.274002316380660638e+00 4.910857141007522131e+00 0.000000000000000000e+00 -1.537600208959021256e+05 1.000000000000000056e-01 6.795757534326972715e-01 2.316218890011517928e+00 4.468551500071858418e-01 2.242179364173371141e+02 4.848683639793011025e+03
-7.496476831433493317e+03 1.772070803682722908e+04 0.000000000000000000e+00 3.374283161387440444e+00 6.249046667157944768e+00 0.000000000000000000e+00 -2.583918399933574721e+06 4.400000000000000022e-01 8.043111971665957149e-01 2.042637176503087737e+00 3.893831226442535098e-01 5.036830078826087629e+02 3.068802637141813648e+03
4.297622446576837319e+03 2.229518062217728220e+04 0.000000000000000000e+00 5.100604384035992922e+00 3.200569159930902963e+00 0.000000000000000000e+00 -2.137639314894248964e+05 4.400000000000000022e-01 1.206713475419078030e+00 1.718392326734204723e+00 7.897410172552068452e-01 6.470118198345244309e+02 1.038677601899300953e+03
-1.168507499736524551e+04 6.326376700111321952e+03 0.000000000000000000e+00 3.463514060992922694e-01 9.558495970958011512e+00 0.000000000000000000e+00 -2.546415955812623259e+06 4.500000000000000111e-01 4.984687674779026967e-01 2.773691149343443740e+00 7.743896242463971236e-02 5.645075179406312600e+02 2.552383252297152467e+03
-1.053322036135711460e+04 6.137954696426781993e+03 0.000000000000000000e+00 3.474862749547181551e+00 9.617580994128299920e+00 0.000000000000000000e+00 -1.687609985442828329e+05 4.899999999999999911e-01 6.494525065918077544e-01 2.968111212898323359e+00 2.045301563603853789e-01 7.737765343730461609e+02 4.354441368950198012e+03
-7.919071047402395379e+03 -5.595842936549495789e+03 0.000000000000000000e+00 6.401098199884486917e+00 -7.575008537995683966e+00 0.000000000000000000e+00 -1.387590432475214475e+05 4.899999999999999911e-01 1.520590869736246631e-01 2.899558742223661945e+00 1.038854641964806896e-01 4.239854915440291734e+02 2.757435641571406813e+04
4.643615961589430299e+03 2.102110970432316753e+04 0.000000000000000000e+00 5.331298995676656105e+00 2.935227195512450926e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.000000000000000000e-01 1.531799336919357657e+00 1.733572575603886001e+00 1.081462980086381753e+00 7.845861118835182424e+02 4.352712467024317675e+02
-1.003177235657922029e+04 7.025919969997307817e+03 0.000000000000000000e+00 4.063767992830622511e+00 9.287251099719096459e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.000000000000000000e-01 6.493367124248976552e-01 2.941664657287910600e+00 2.010857880625336325e-01 6.366769273433910712e+02 4.390682003969621292e+03
-6.748779547815162005e+03 -6.957446592644050725e+03 0.000000000000000000e+00 6.727073100942359218e+00 -6.604758887858858785e+00 0.000000000000000000e+00 -1.387590432475214475e+05 5.000000000000000000e-01 1.522905881054389399e-01 2.755854908838802686e+00 9.984210538243323829e-02 4.923640443259218955e+02 2.758395330799038857e+04
5.412121939202645990e+03 2.121847308759436055e+04 0.000000000000000000e+00 5.302911263876625370e+00 2.829327383520641170e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.100000000000000089e-01 1.527541248195086965e+00 1.710429111133334068e+00 1.073918995274607990e+00 6.442546565271532018e+02 5.089324387439228303e+02
-9.466009516492167677e+03 7.894366615618828291e+03 0.000000000000000000e+00 4.594184495232527254e+00 8.886980485631108095e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.100000000000000089e-01 6.493503794649360117e-01 2.902014792289095979e+00 1.977744305686478798e-01 5.006492251182271502e+02 4.429353752971475842e+03
-5.538493264755019482e+03 -8.156018053754845823e+03 0.000000000000000000e+00 6.854601347134724243e+00 -5.779088356375869040e+00 0.000000000000000000e+00 -1.387590432475214475e+05 5.100000000000000089e-01 1.526184115187307344e-01 2.620331594189106994e+00 9.589736479538676917e-02 5.612275539524771375e+02 2.759394658365343639e+04
6.183711396047890958e+03 2.140430145024117883e+04 0.000000000000000000e+00 5.272647842308314736e+00 2.727982686523048095e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.200000000000000178e-01 1.523586771959047681e+00 1.687711615888471073e+00 1.066682508795618656e+00 5.050499227858908853e+02 5.898244565419187211e+02
-8.839845260540058007e+03 8.734806397110312901e+03 0.000000000000000000e+00 5.052082847093090301e+00 8.436538786750515939e+00 0.000000000000000000e+00 -1.687609985442828329e+05 5.200000000000000178e-01 6.493642103305548030e-01 2.851219445259525642e+00 1.944668124121481656e-01 3.656999840451780983e+02 4.470424775332618083e+03
