K,backward_a,backward_e,backward_w,forward_a,forward_e,forward_w
1.000000000000000000e+02,3.810173800020499584e+03,3.087229705055907769e-02,5.502230418871027595e+00,5.045900742886786247e+03,4.073812066358063755e-02,1.707441589825958417e+01
2.000000000000000000e+02,3.288424289007310563e+03,2.658210253534174297e-02,5.014562671925920867e+00,4.254363407817019834e+03,3.441925044218651503e-02,1.474267088348287125e+01
3.000000000000000000e+02,2.916577154773243819e+03,2.366488874451079527e-02,4.210447317255201050e+00,4.066457325768151804e+03,3.286712705455679950e-02,1.381120817072505069e+01
4.000000000000000000e+02,2.746322250009266554e+03,2.229308619191136195e-02,3.769820986161088072e+00,3.921569873241145160e+03,3.167291268386169395e-02,1.306161994391586312e+01
5.000000000000000000e+02,2.739911084860438677e+03,2.219668640137411469e-02,3.674063972299071779e+00,3.518284352631058027e+03,2.847923510038151071e-02,1.234129653161034135e+01
6.000000000000000000e+02,2.647455949244452768e+03,2.147906680706485744e-02,3.288536734035760745e+00,3.280759301812312970e+03,2.657851555564233470e-02,1.114705403288947494e+01
7.000000000000000000e+02,2.461975345599973934e+03,2.000533078308624688e-02,3.083836686960547802e+00,3.123276338360717091e+03,2.536533509043102305e-02,1.006484796907781032e+01
8.000000000000000000e+02,2.364696449745623795e+03,1.917362970136622657e-02,3.035083060768150265e+00,2.914824942859755993e+03,2.370345503591824582e-02,9.642125619342717613e+00
9.000000000000000000e+02,2.435029195006365626e+03,1.970288548149717531e-02,2.843489651072356406e+00,2.862636507419748796e+03,2.323159812622364179e-02,9.726563460528151239e+00
1.000000000000000000e+03,2.281314544924296115e+03,1.849900180207959127e-02,2.684574942665721053e+00,2.649341454694925687e+03,2.155936888070888666e-02,8.661223921944538162e+00
