K,mean_std,n_clusters_eq1,n_clusters_lt10,n_clusters_lt100,traj_fraction_eq1,traj_fraction_lt10,traj_fraction_lt100
1.000000000000000000e+02,8.689428958687878124e-03,1.000000000000000000e+00,2.000000000000000000e+00,1.900000000000000000e+01,5.151346561991304621e-06,4.636211905792173905e-05,5.728297376934330352e-03
2.000000000000000000e+02,7.561967943262732847e-03,7.000000000000000000e+00,2.600000000000000000e+01,8.800000000000000000e+01,3.605942593393913489e-05,4.739238837032000353e-04,1.369743050833487942e-02
3.000000000000000000e+02,6.992074063995624804e-03,2.700000000000000000e+01,6.400000000000000000e+01,1.620000000000000000e+02,1.390863571737652171e-04,1.035420658960252253e-03,2.100203993323854906e-02
4.000000000000000000e+02,6.605699190346130817e-03,4.400000000000000000e+01,1.090000000000000000e+02,2.490000000000000000e+02,2.266592487276173999e-04,1.808122643258947958e-03,3.088232263913787135e-02
5.000000000000000000e+02,5.968958959472209919e-03,5.400000000000000000e+01,1.560000000000000000e+02,3.380000000000000000e+02,2.781727143475304343e-04,2.627186746615565484e-03,3.810451051904967940e-02
6.000000000000000000e+02,5.475297205924854922e-03,7.600000000000000000e+01,2.090000000000000000e+02,4.190000000000000000e+02,3.915023387113391478e-04,3.435948156848200093e-03,4.505882837773794031e-02
7.000000000000000000e+02,5.206281071285529666e-03,1.050000000000000000e+02,2.720000000000000000e+02,5.100000000000000000e+02,5.408913890090869285e-04,4.327131112072695428e-03,5.149801158022707104e-02
8.000000000000000000e+02,4.952134750870415721e-03,1.340000000000000000e+02,3.330000000000000000e+02,5.970000000000000000e+02,6.902804393068347633e-04,5.331643691660999801e-03,5.483608415239743517e-02
9.000000000000000000e+02,4.699661549206036494e-03,1.560000000000000000e+02,3.870000000000000000e+02,6.840000000000000000e+02,8.036100636706434769e-04,6.016772784405843323e-03,6.357791926809668037e-02
1.000000000000000000e+03,4.479169038022128707e-03,1.680000000000000000e+02,4.500000000000000000e+02,7.740000000000000000e+02,8.654262224145391289e-04,7.227339226473799942e-03,7.015618882775957743e-02
