K,cluster,representative_source,phase,parameter,unit,n_cluster,n_valid,n_missing,median,std,p05,p95,width90,minimum,maximum,range,skewness,error95,error_max,angle_origin_deg,angle_resultant
10,0,147032,backward,eps,km^2/s^2,56047,56047.0,0.0,-0.13032036729048202,0.04077437159953424,-0.19779696165997965,-0.07136204160938435,0.1264349200505953,-0.24710430454984245,-0.04380722131250103,0.2032970832373414,-0.13413811848502322,0.0759834506752527,0.12488985419634258,nan,nan
10,1,33467,backward,eps,km^2/s^2,11708,11708.0,0.0,-0.9796362633430562,0.03456434057033951,-1.0025972327616817,-0.9019120401220481,0.1006851926396336,-1.020754723273971,-0.8065371397178525,0.21421758355611864,2.029335733571084,0.08013174664571643,0.17550664704991203,nan,nan
10,2,52405,backward,eps,km^2/s^2,8936,8936.0,0.0,-0.8620953033756029,0.02547139000160824,-0.9000775871331902,-0.8131807054856971,0.0868968816474931,-0.9754363726151322,-0.8069849026698955,0.16845146994523663,0.1713746739220712,0.05897773334370021,0.10337857996430644,nan,nan
10,3,156649,backward,eps,km^2/s^2,34130,34130.0,0.0,-0.22405058057323912,0.029559738125833554,-0.2500913884229353,-0.1566768412013847,0.09341454722155063,-0.2595672674968075,-0.10550431107199165,0.15406295642481582,0.8694684061361695,0.06551552241097226,0.1166880525403653,nan,nan
10,4,40474,backward,eps,km^2/s^2,10599,10599.0,0.0,-0.8630115026636376,0.025065417826090678,-0.9038935307761046,-0.8280536200276318,0.07583991074847274,-0.9182613158571666,-0.8062327657692095,0.11202855008795709,-0.01848804847027012,0.05179663263428998,0.0736174868927123,nan,nan
10,5,138247,backward,eps,km^2/s^2,28418,28418.0,0.0,-0.1847596587427245,0.034289092699976605,-0.2271129774406003,-0.12678430280946434,0.10032867463113596,-0.24666042427620471,-0.043879077490019736,0.20278134678618498,0.3221808226517652,0.06145485345632556,0.14436007877577017,nan,nan
10,6,32694,backward,eps,km^2/s^2,5549,5549.0,0.0,-0.8737805917179264,0.04912541326425091,-0.9671668909730999,-0.8133124724352341,0.15385441853786586,-1.0207437552380227,-0.8063623697289342,0.21438138550908858,-0.3683451656325558,0.08193090046299764,0.12931089366630721,nan,nan
10,7,16324,backward,eps,km^2/s^2,15123,15123.0,0.0,-0.8976937316475642,0.03420399709677041,-0.963633478681537,-0.8554563467007645,0.1081771319807725,-0.9875089652965954,-0.806208472304013,0.18130049299258233,-0.3716399991309257,0.06004297716145718,0.09797543395614627,nan,nan
10,8,57507,backward,eps,km^2/s^2,14674,14674.0,0.0,-0.9378858612179548,0.019751012392194234,-0.9686344991841497,-0.9081805023740154,0.0604539968101343,-1.020836128343177,-0.8382630086029146,0.18257311974026247,0.24532718841545847,0.03428765367511232,0.096997534051815,nan,nan
10,9,221423,backward,eps,km^2/s^2,8940,8940.0,0.0,-0.20817151297205738,0.043869627026427924,-0.25646222621833914,-0.11646668547028301,0.13999554074805615,-0.2591430175985322,-0.04391779137377705,0.21522522622475515,0.8579370279592724,0.09865475555154139,0.17120364964804735,nan,nan
10,0,147032,backward,e,-,56047,56047.0,0.0,0.6882746471190202,0.09963689078959466,0.5210786247410627,0.8298944488285503,0.30881582408748764,0.38814933447671646,0.8956261106421681,0.5074767761654517,-0.17170774277560347,0.18694814261113185,0.3197992387406879,nan,nan
10,1,33467,backward,e,-,11708,11708.0,0.0,0.5149763009931242,0.05886816754655816,0.38924354901605546,0.547927418873473,0.1586838698574175,0.16931918759634287,0.5728758045889726,0.4035566169926297,-2.612129339648944,0.12911809868067592,0.34904246010038853,nan,nan
10,2,52405,backward,e,-,8936,8936.0,0.0,0.3131901768303684,0.056341722734248596,0.19089100791655933,0.38663709658116424,0.1957460886646049,0.17059170470547644,0.5088916188652927,0.3382999141598162,-0.5112076882486802,0.14316052374636803,0.1752006257870099,nan,nan
10,3,156649,backward,e,-,34130,34130.0,0.0,0.4524458706847708,0.07682690381732644,0.3803066332705825,0.623586765899373,0.2432801326287905,0.35264176551903914,0.7484095421825292,0.39576777666349006,0.7891475028195934,0.1667567991472094,0.2915795754303656,nan,nan
10,4,40474,backward,e,-,10599,10599.0,0.0,0.31507567369505923,0.053087864087862965,0.23420652851852192,0.39324241616157996,0.15903588764305804,0.168344493093901,0.4170856067459366,0.24874111365203558,-0.2112536834873481,0.11448862611919869,0.1803506615438196,nan,nan
10,5,138247,backward,e,-,28418,28418.0,0.0,0.5537955552083426,0.08613356108600086,0.4442333402823655,0.6966820972027252,0.25244875692035973,0.38958138560541716,0.8954556794646302,0.5058742938592131,0.2801375027806772,0.15172543945752712,0.3504697807398399,nan,nan
