K,backward_a,backward_e,backward_w,forward_a,forward_e,forward_w
1.000000000000000000e+01,3.447150795363764628e+05,8.198242957730005054e-02,5.741249806797972255e+00,3.746289582572295913e+05,9.504806526015384394e-02,4.095225298415837045e+01
1.300000000000000000e+01,3.296186831749155535e+05,7.073419846436405922e-02,5.780587470482370982e+00,3.595071353013489861e+05,9.199242381338941510e-02,3.930382916982151187e+01
1.700000000000000000e+01,2.755693791510669980e+05,6.313053090493540853e-02,5.716113907403920891e+00,3.299700852994406014e+05,8.305120505498933547e-02,3.850274100472120153e+01
2.100000000000000000e+01,2.657877657241466222e+05,5.946511831159115996e-02,5.292095278342550557e+00,3.313786112792991335e+05,8.321963321020237059e-02,3.626330461849002518e+01
2.500000000000000000e+01,2.660767886569358525e+05,5.885222500899658232e-02,5.243578399102037935e+00,3.009664903165244032e+05,7.634545052883634497e-02,3.511608718408678698e+01
2.900000000000000000e+01,3.170246321630355087e+05,6.382982372806125793e-02,5.144196305936199032e+00,3.071500691970304470e+05,7.015106079042535137e-02,2.798028869321369427e+01
3.300000000000000000e+01,3.181323410243337275e+05,6.262153622745671167e-02,5.043521323011106894e+00,3.095844930308585754e+05,7.353199932745996259e-02,2.627102656854111373e+01
3.700000000000000000e+01,3.001436558543166029e+05,6.119150984147838507e-02,4.971200837773984915e+00,3.076036014413205558e+05,7.316077464837252020e-02,2.493567617037110651e+01
4.100000000000000000e+01,2.983842381601531524e+05,5.974121447056825185e-02,4.987139692725389040e+00,3.032213230693268124e+05,6.984706914817578882e-02,2.487525026314895626e+01
4.500000000000000000e+01,2.983846588469947455e+05,5.985431247530497573e-02,4.911052188602347712e+00,2.980561501731929602e+05,6.862863323561024798e-02,2.437437204473528496e+01
