K,backward_eps,backward_e,backward_w,forward_eps,forward_e,forward_w
1.000000000000000000e+01,4.052623919149749010e-02,8.821318265553031168e-02,6.736764077453173627e+00,1.185549832787919922e-01,9.459524854649548065e-02,3.218286425568533105e+01
1.200000000000000000e+01,3.933595439538081773e-02,8.831562052258087880e-02,6.254021191891005138e+00,8.748771456291537518e-02,9.070552013921777401e-02,2.748600288577324235e+01
1.400000000000000000e+01,3.693476253807832788e-02,8.313310458461448116e-02,6.021883594342919643e+00,7.328210124652306812e-02,8.214983573809915562e-02,2.624719132867339511e+01
1.700000000000000000e+01,3.448684299541815435e-02,7.944320121927272993e-02,5.532414098699318217e+00,9.062018044659979343e-02,8.750059482671337929e-02,2.808319981781922081e+01
1.900000000000000000e+01,3.467905725438458903e-02,7.931297039621432177e-02,5.591209333844235019e+00,8.925736254567714911e-02,8.789770563600203535e-02,2.657641170537425523e+01
2.200000000000000000e+01,3.161378424172233553e-02,7.334488824514859284e-02,5.198716452595684601e+00,7.933108552082160370e-02,8.687646736923446134e-02,2.454700710370385153e+01
2.400000000000000000e+01,2.694310522066842642e-02,6.205825933333590505e-02,5.189520986674677872e+00,7.768119998210999688e-02,8.192714510102128145e-02,2.435816371309686446e+01
2.700000000000000000e+01,2.673000586180734536e-02,6.111661084617985712e-02,5.147236326744669022e+00,5.460880997811828202e-02,7.528885346002901768e-02,2.097151964267694169e+01
2.900000000000000000e+01,2.598900907246988121e-02,6.039233824641378201e-02,5.009029600047646191e+00,5.394643688308439766e-02,7.068611490216199222e-02,2.029975578460324215e+01
3.200000000000000000e+01,2.558779549947290746e-02,5.860211721044022298e-02,5.018082629630893798e+00,5.757416197725904322e-02,6.893918916413824260e-02,2.112112401266685424e+01
