K,cluster,representative_source,phase,parameter,unit,n_cluster,n_valid,n_missing,median,std,p05,p95,width90,minimum,maximum,range,skewness,error95,error_max,angle_origin_deg,angle_resultant
10,6,168099,backward,e,-,9888,9888.0,0.0,0.5478616795329212,0.11410718565552487,0.36458482570861045,0.731229229981191,0.36664440427258055,0.35333869863390605,0.8538741339376211,0.500535435303715,-0.07460806191810976,0.19695319819357926,0.3195981021500094,nan,nan
10,7,148986,backward,e,-,58713,58713.0,0.0,0.49095576239867217,0.08965498591957662,0.3909252304086693,0.6738402931010777,0.28291506269240846,0.3569526799940352,0.7175385073147877,0.36058582732075256,0.45377631737550056,0.19045355464393612,0.23415176885764616,nan,nan
10,8,78072,backward,e,-,15687,15687.0,0.0,0.4509489253317804,0.035490170540742834,0.39967011896715715,0.5008162829250875,0.10114616395793036,0.2593354528371107,0.57285141266025,0.3135159598231393,-1.0030450813580547,0.08591258263440657,0.22623535877528766,nan,nan
10,9,90582,backward,e,-,9987,9987.0,0.0,0.5123496971638883,0.06842659736248742,0.33780256836805855,0.5486749156645216,0.2108723472964631,0.16931918759634287,0.5563450703171937,0.3870258827208508,-1.8224456501664381,0.1947901170543933,0.36327349782610907,nan,nan
10,0,181750,backward,w,deg,47920,47920.0,0.0,-0.777883819203808,4.865121395691584,-6.096729923402781,11.387655381163025,17.484385304565805,-7.64575583619083,15.923052538204445,23.568808374395275,1.2647725223260644,16.73315397628269,21.26855113332411,20.9261716265286,0.9964049398117478
10,1,160930,backward,w,deg,2213,2213.0,0.0,-0.9111820788918976,33.87873841384028,-8.466732350300548,10.350782174802942,18.81751452510349,-179.61753642738927,177.71899188775762,357.3365283151469,2.49285222437626,15.294914561263159,179.9994480679319,26.019379451837125,0.9179925483289676
10,2,31229,backward,w,deg,4929,4929.0,0.0,1.6199075456550531,9.218359346411626,-12.907916346664155,13.5921142564735,26.500030603137656,-32.363403581117495,16.494490292386246,48.85789387350374,-0.7725549240362778,19.98143596694144,39.43692320139479,203.860151628186,0.9871671387216405
10,3,18261,backward,w,deg,17104,17104.0,0.0,-0.3863570009741579,4.509220184439508,-6.412784829285386,7.0152508876823445,13.428035716967731,-8.242992232687328,22.298464276757272,30.5414565094446,0.9745616995950153,8.849181560678192,24.13239494975312,189.44790333005344,0.9969113527441253
10,4,216018,backward,w,deg,8846,8846.0,0.0,1.0955601228647112,7.595962954478626,-10.713307774398885,13.497885323101464,24.21119309750035,-11.408214303421772,14.616899407345898,26.02511371076767,0.24346467653652587,21.266634000133962,22.385648084378374,22.023321004728597,0.9912377830972892
10,5,56494,backward,w,deg,18771,18771.0,0.0,0.25773042809615276,7.534068956754776,-9.800681128414709,11.881996656483935,21.682677784898644,-34.50243898467539,14.273773699949857,48.77621268462525,-1.3721205971866115,15.612547330266665,40.31430518652735,205.95484463667432,0.9914503906067619
