# x0 y0 z0 v0x v0y v0z Cj E_SOI h_min_periluneo h_perigeo
9.886372153018245790e-01 -1.126507653628703448e-02 0.000000000000000000e+00 -1.499462638943107828e+00 3.938361918158377328e-01 0.000000000000000000e+00 2.700000000000004619e+00 1.039982578054102491e-01 2.185495980890701958e+03 1.747748159432103275e+05
9.810911997367249837e-01 -1.856823454325258124e-02 0.000000000000000000e+00 1.158718915382981329e+00 3.726462065633416310e-01 0.000000000000000000e+00 2.700000000000004619e+00 2.800020301634621456e-01 3.391264606148865823e+03 4.922373314274364384e+04
9.872980136167421872e-01 -7.886399812502319431e-03 0.000000000000000000e+00 2.223065216045815529e+00 -1.258334896821576399e+00 0.000000000000000000e+00 -4.999999999999977796e-01 7.087962907077784980e-01 9.191898965877412593e+02 8.952154562443464238e+04
9.350198059539639450e-01 -2.928396895537287506e-02 0.000000000000000000e+00 -1.248205741526946966e+00 6.570216954725367764e-02 0.000000000000000000e+00 1.800000000000004263e+00 7.640587590073613655e-02 8.041201154301124006e+03 1.135972699638418999e+04
9.941992273686589554e-01 -2.750375841885930456e-02 0.000000000000000000e+00 1.634521184426665830e+00 -1.241344795128216383e+00 0.000000000000000000e+00 -3.999999999999976907e-01 1.964758704112708476e-01 8.996290649571775475e+02 1.940723243674085534e+05
1.051200789415030146e+00 -4.435906131760435078e-02 0.000000000000000000e+00 3.869835709041478111e-01 3.575367806475363008e-01 0.000000000000000000e+00 3.000000000000005329e+00 3.058359292165962334e-02 2.709550813909576027e+04 3.270045932305140304e+05
1.054445125311404663e+00 -6.431066286634166962e-02 0.000000000000000000e+00 3.303070448474734744e-01 3.440362543646001692e-01 0.000000000000000000e+00 3.000000000000005329e+00 6.749080377212242354e-02 1.291368730477536701e+04 3.852843311098350678e+05
9.753722337566400613e-01 -3.088227906718390287e-02 0.000000000000000000e+00 -1.202362221022832189e+00 1.894937847408343368e-01 0.000000000000000000e+00 2.200000000000004619e+00 1.687631282314087100e-01 1.059533773094135540e+04 6.112996862548701756e+04
9.903339197834853946e-01 -9.272039029494751408e-03 0.000000000000000000e+00 2.112371118062462472e+00 -9.597098633567250348e-01 0.000000000000000000e+00 1.000000000000027534e-01 5.212245971164818359e-01 8.791850270251457005e+02 6.091030572282479261e+04
9.190500020137216675e-01 -6.194733219821656200e-02 0.000000000000000000e+00 -1.595254296249982051e+00 -1.087719523580982894e+00 0.000000000000000000e+00 -4.999999999999977796e-01 6.832208027969670361e-02 3.390539179863073400e+02 3.675379095773532172e+05
