K,mean_std,n_clusters_eq1,n_clusters_lt10,n_clusters_lt100,traj_fraction_eq1,traj_fraction_lt10,traj_fraction_lt100
1.000000000000000000e+01,2.827551348503269668e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,2.406029468511000982e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.423934257132836015e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.288274639540755754e-04
2.300000000000000000e+01,2.225062843600919202e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.597460553030537200e-04
2.700000000000000000e+01,2.112369946157224843e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.597460553030537200e-04
3.200000000000000000e+01,1.979292245242180240e-02,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,3.607168990714116193e-05,6.802090096775190728e-04
3.600000000000000000e+01,1.944935709221875739e-02,0.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,7.214337981428232385e-05,6.853621082356821511e-04
4.100000000000000000e+01,1.897900641457908599e-02,0.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,6.699028125611929975e-05,9.120984447948551031e-04
4.500000000000000000e+01,1.863090091243945270e-02,0.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,6.699028125611929975e-05,9.120984447948551031e-04
5.000000000000000000e+01,1.832456511069864222e-02,0.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,6.699028125611929975e-05,9.224046419111811513e-04
