K,backward_a,backward_e,backward_w,forward_a,forward_e,forward_w
1.000000000000000000e+01,7.048070843648651135e+03,5.758701963457475703e-02,7.184804030028300481e+00,3.449299380896437215e+05,1.895296526482056210e-01,6.521883931773123777e+01
3.100000000000000000e+01,4.411138127619832630e+03,3.554986008683209270e-02,6.251655371499735381e+00,3.348483870396190323e+05,1.738477098283587874e-01,6.384532814854373584e+01
5.200000000000000000e+01,4.062266319433821536e+03,3.295491665412537963e-02,5.933801321454454936e+00,3.252435951745858183e+05,1.708974722622882136e-01,5.903450540987304151e+01
7.300000000000000000e+01,4.075729807351977342e+03,3.303418893135932205e-02,5.502026130279857874e+00,3.219143159761304269e+05,1.683573568073034876e-01,5.938084776280218335e+01
9.400000000000000000e+01,3.803480202405020464e+03,3.077059982516617068e-02,5.447946168266959432e+00,2.935136629998783465e+05,1.638680441857711112e-01,5.685409556138566245e+01
1.150000000000000000e+02,3.812737216893876393e+03,3.090145607628386887e-02,5.404389980305769114e+00,2.948468234752095887e+05,1.634718863451295467e-01,5.589578679103937731e+01
1.360000000000000000e+02,3.379475229799712906e+03,2.733536227886032913e-02,5.257081335392193466e+00,2.872938372658701846e+05,1.628673658202308416e-01,5.569963319443270677e+01
1.570000000000000000e+02,3.323904985918351940e+03,2.694359286464347719e-02,5.315909394567905011e+00,2.846075778331722831e+05,1.618901104150058390e-01,5.234642156664611434e+01
1.780000000000000000e+02,3.302169533705362028e+03,2.672647810562210971e-02,5.204424380291754915e+00,2.848424803032552591e+05,1.617277168844955815e-01,5.191139487309597911e+01
2.000000000000000000e+02,3.288424289007310563e+03,2.658210253534174297e-02,5.014562671925920867e+00,2.762660716763702221e+05,1.610387844113590761e-01,5.121412431416315769e+01
