K,mean_std,n_clusters_eq1,n_clusters_lt10,n_clusters_lt100,traj_fraction_eq1,traj_fraction_lt10,traj_fraction_lt100
1.000000000000000000e+01,1.603226725032367433e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,1.194584549837566546e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.030269312398260924e-05,1.030269312398260924e-05
5.200000000000000000e+01,9.994112334269037237e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.151346561991304621e-06,5.151346561991304621e-06,5.151346561991304621e-06
7.300000000000000000e+01,9.474648939542931747e-03,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.151346561991304621e-06,5.151346561991304621e-06,1.107539510828130496e-03
9.400000000000000000e+01,8.978687233095911449e-03,1.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,5.151346561991304621e-06,5.151346561991304621e-06,4.291071686138756523e-03
1.150000000000000000e+02,8.594755236377014246e-03,3.000000000000000000e+00,4.000000000000000000e+00,3.100000000000000000e+01,1.545403968597391302e-05,5.666481218190434999e-05,8.010343903896478129e-03
1.360000000000000000e+02,8.288362113846389420e-03,2.000000000000000000e+00,9.000000000000000000e+00,3.800000000000000000e+01,1.030269312398260924e-05,1.545403968597391302e-04,8.180338340442192338e-03
1.570000000000000000e+02,7.802960162669369572e-03,3.000000000000000000e+00,1.300000000000000000e+01,5.400000000000000000e+01,1.545403968597391302e-05,2.266592487276173999e-04,1.034905524304053151e-02
1.780000000000000000e+02,7.799192298168167170e-03,5.000000000000000000e+00,2.200000000000000000e+01,6.900000000000000000e+01,2.575673280995652395e-05,4.224104180832869739e-04,1.168325400259627792e-02
2.000000000000000000e+02,7.561967943262732847e-03,7.000000000000000000e+00,2.600000000000000000e+01,8.800000000000000000e+01,3.605942593393913489e-05,4.739238837032000353e-04,1.369743050833487942e-02
