K,backward_a,backward_e,backward_w,forward_a,forward_e,forward_w
1.000000000000000000e+01,7.048070843648651135e+03,5.758701963457475703e-02,7.184804030028299593e+00,3.449299380896436633e+05,1.895296526482056210e-01,6.521883931773123777e+01
1.400000000000000000e+01,6.329700413187300910e+03,5.119771968056613387e-02,7.335240212534011484e+00,3.431102354268215131e+05,1.804885063747488361e-01,6.445147289332373930e+01
1.800000000000000000e+01,5.958868065497977113e+03,4.871268084125274928e-02,7.257638426856412472e+00,3.396999836031128652e+05,1.812431271975704083e-01,6.540362102289338964e+01
2.300000000000000000e+01,4.672069515970982138e+03,3.792568707644492637e-02,6.531558559002935915e+00,3.360638180747926817e+05,1.865098800075152552e-01,6.215224480776736016e+01
2.700000000000000000e+01,4.562205024433040307e+03,3.697025562914989932e-02,6.389062572594763623e+00,3.356938888538275496e+05,1.740525794406041771e-01,6.372946185239059957e+01
3.200000000000000000e+01,4.266400099019680056e+03,3.443692861690938328e-02,6.296796510538043457e+00,3.347944755059557501e+05,1.736503643327519941e-01,6.385209287482049945e+01
3.600000000000000000e+01,4.237405326702600178e+03,3.435314844722770627e-02,6.284740572837494099e+00,3.266661659911636962e+05,1.730394758338208161e-01,6.353670575366497530e+01
4.100000000000000000e+01,4.049632025005990272e+03,3.264445634786231065e-02,6.240384995588205364e+00,3.260671022287322558e+05,1.720897034442783469e-01,6.122129796130241886e+01
4.500000000000000000e+01,4.126505387324494222e+03,3.322772338828963723e-02,6.048568847473124066e+00,3.262578869871228817e+05,1.712357435922246263e-01,6.122404983895300035e+01
5.000000000000000000e+01,4.157938079917395044e+03,3.364143189121442112e-02,5.953125055463680759e+00,3.252318025396696175e+05,1.709674560888855277e-01,5.906030436121451288e+01
