# t_departure_s x_departure_km y_departure_km z_departure_km vx_departure_km_s vy_departure_km_s vz_departure_km_s t_maneuver_s dx_maneuver_km dy_maneuver_km dz_maneuver_km dvx_maneuver_km_s dvy_maneuver_km_s dvz_maneuver_km_s tof_s DV1_km_s DV2_km_s DVtotal_km_s E_SOI_km2_s2 h_moon_km
-4.243687161766673438e+06 -7.518461369772536273e+03 -6.989810996338853329e+03 0.000000000000000000e+00 4.307184657499286473e+00 -1.008291910850140916e+01 0.000000000000000000e+00 -3.318522220374673139e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.271740835884224791e-02 1.114543345063952196e-01 0.000000000000000000e+00 9.251649413919999497e+05 3.170877972769960973e+00 1.232931215613278786e-01 3.294171094331288963e+00 7.612845891328381409e-01 1.284816980649084599e+03
-3.467871826598503161e+06 -2.372460748982111909e+02 -3.625277380306174564e+03 0.000000000000000000e+00 7.352769346394024019e+00 -8.126873052601354175e+00 -1.406685650369823495e-15 -1.699776642608822323e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.136071893744832195e-01 1.426544306367422132e-01 -1.044261441188941075e-17 1.768095183989680838e+06 3.186079329818169548e+00 1.823646897232651942e-01 3.368444019541434908e+00 7.466202635250203112e-01 2.308037541428250734e+03
-4.665938585176449269e+06 -8.232532305629636539e+03 4.907830543706567369e+03 0.000000000000000000e+00 -9.139778417687123735e+00 -6.038262414870239958e+00 0.000000000000000000e+00 -3.886114818094193470e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.710024020256595556e-02 4.962804011089572837e-02 0.000000000000000000e+00 7.798237670822554501e+05 3.163447536113256575e+00 8.345887969827250896e-02 3.246906415811529278e+00 7.347514402731336602e-01 1.713929980061221158e+03
-2.331682203631121200e+06 -9.691111996304065542e+03 3.922348694501128193e+03 0.000000000000000000e+00 -7.021460865241158089e+00 -8.432850650655378644e+00 0.000000000000000000e+00 -1.217716835556883132e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.308792693109483429e-01 1.627113237049426786e-01 0.000000000000000000e+00 1.113965368074238067e+06 3.179106474262408888e+00 2.088165654280866312e-01 3.387923039690495575e+00 7.216790144784196448e-01 9.571135783375851815e+02
-4.714057226003633812e+06 -6.440165503978737433e+03 -6.335529012728444286e+03 0.000000000000000000e+00 -1.055442271729141801e+01 2.922686390635005793e+00 0.000000000000000000e+00 -3.832469252017596271e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.921983741008758573e-01 -1.756393939718966235e-01 0.000000000000000000e+00 8.815879739860375412e+05 3.169427656263328341e+00 5.225977766718500339e-01 3.692025432935178486e+00 7.092121141283925789e-01 8.325177009899300629e+01
-4.166664089413731825e+06 -6.887916757204804526e+03 -6.291356937438322348e+03 0.000000000000000000e+00 -2.782295507460866624e+00 1.058712946134351718e+01 0.000000000000000000e+00 -3.102814524612131529e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.479314093223494719e-03 -6.069768926676677445e-02 0.000000000000000000e+00 1.063849564801600296e+06 3.165853345213567316e+00 6.074830434421878839e-02 3.226601649557786278e+00 6.956622483294383485e-01 8.225791225928459482e+01
-3.617657857168088667e+06 -1.757520215336953925e+03 8.212556708775637162e+02 0.000000000000000000e+00 -3.085794556381474152e+00 -1.049677911149361442e+01 0.000000000000000000e+00 -2.985019365534848534e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.500016157199596245e-02 3.990333256301908937e-02 0.000000000000000000e+00 6.326384916332402499e+05 3.167967147837258413e+00 4.262957654986598843e-02 3.210596724387124290e+00 6.855941653762288590e-01 1.298845784516085814e+03
-4.714057226003633812e+06 -1.105330735936511701e+04 -1.591186224202993799e+03 0.000000000000000000e+00 -2.286333240010393730e+00 1.070627107990532245e+01 9.740996871538173453e-11 -2.861972192995520774e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.697227006661179205e-02 -1.598979179056395639e-01 3.352165259664574236e-13 1.852085033008113038e+06 3.189962180589774654e+00 1.621568607956656582e-01 3.352119041385440479e+00 6.754018531202963249e-01 7.113815595305080706e+02
-2.588947256113323383e+06 -8.320989409184776378e+03 -2.076870145304533253e+03 0.000000000000000000e+00 -7.977441184890025738e+00 7.525827544001957747e+00 0.000000000000000000e+00 -1.467187475003995467e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.672774933725271473e-01 -1.238785506459198771e-01 0.000000000000000000e+00 1.121759781109327683e+06 3.183312282082292999e+00 2.081529608223952332e-01 3.391465242904688093e+00 6.649863756904057510e-01 6.004540985881594679e+02
-2.715427133039735258e+06 -7.837709660030236591e+03 -2.894178067879238370e+02 0.000000000000000000e+00 6.927955066505053772e+00 -8.499291645379370763e+00 0.000000000000000000e+00 -1.400411875272287289e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.330398281510319913e-01 1.853894176701293417e-01 0.000000000000000000e+00 1.315015257767448202e+06 3.182235951800139961e+00 2.281859593807774034e-01 3.410421911180917309e+00 6.558774736008005091e-01 2.483436142925738750e+03
-3.209838563379783649e+06 -2.489540937409610706e+02 -2.144751469015722250e+03 0.000000000000000000e+00 -9.490560082873910730e+00 5.527976365521820590e+00 -2.284718327818438380e-16 -1.748170195223374991e+06 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.328183484856932994e-01 -1.063468064640847727e-01 -1.651856697433447939e-18 1.461668368156408658e+06 3.186090838807678960e+00 2.559570796768771417e-01 3.442047918484556046e+00 6.472992768210759085e-01 5.253120968643669357e+02
